"","Name","City","Country","IATA","ICAO","Lat","Lon","Altitude","Timezone","DST","TZID"
"3432","Gray Aaf","Fort Lewis","United States","GRF","KGRF",47.079217,-122.580783,302,-8,"A","America/Los_Angeles"
"3433","Kodiak","Kodiak","United States","ADQ","PADQ",57.749967,-152.493856,78,-9,"A","America/Anchorage"
"3434","Upolu","Opolu","United States","UPP","PHUP",20.265256,-155.859989,96,-10,"A","Pacific/Honolulu"
"3435","Fort Lauderdale Hollywood Intl","Fort Lauderdale","United States","FLL","KFLL",26.072583,-80.15275,9,-5,"A","America/New_York"
"3436","Davis Fld","Muskogee","United States","MKO","KMKO",35.656489,-95.366656,612,-6,"A","America/Chicago"
"3437","Falls Intl","International Falls","United States","INL","KINL",48.566186,-93.403067,1185,-6,"A","America/Chicago"
"3438","Salt Lake City Intl","Salt Lake City","United States","SLC","KSLC",40.788389,-111.977772,4227,-7,"A","America/Denver"
"3439","Childress Muni","Childress","United States","CDS","KCDS",34.433781,-100.287992,1954,-6,"A","America/Chicago"
"3440","Keesler Afb","Biloxi","United States","BIX","KBIX",30.410425,-88.924433,33,-6,"A","America/Chicago"
"3441","Lawson Aaf","Fort Benning","United States","LSF","KLSF",32.337322,-84.991283,232,-5,"A","America/New_York"
"3442","Kingsville Nas","Kingsville","United States","NQI","KNQI",27.507223,-97.809723,50,-6,"A","America/Chicago"
"3443","Marshall Aaf","Fort Riley","United States","FRI","KFRI",39.055275,-96.764453,1063,-6,"A","America/Chicago"
"3444","Harrisburg Intl","Harrisburg","United States","MDT","KMDT",40.193494,-76.763403,310,-5,"A","America/New_York"
"3445","Lincoln","Lincoln","United States","LNK","KLNK",40.850971,-96.75925,1219,-6,"A","America/Chicago"
"3446","Capital City","Lansing","United States","LAN","KLAN",42.7787,-84.587357,861,-5,"A","America/New_York"
"3447","Waimea Kohala","Kamuela","United States","MUE","PHMU",20.001328,-155.668108,2671,-10,"A","Pacific/Honolulu"
"3448","Massena Intl Richards Fld","Massena","United States","MSS","KMSS",44.935833,-74.845547,215,-5,"A","America/New_York"
"3449","Hickory Rgnl","Hickory","United States","HKY","KHKY",35.741147,-81.38955,1189,-5,"A","America/New_York"
"3450","Albert Whitted","St. Petersburg","United States","SPG","KSPG",27.765111,-82.626972,7,-5,"A","America/New_York"
"3451","Page Fld","Fort Myers","United States","FMY","KFMY",26.586611,-81.86325,17,-5,"A","America/New_York"
"3452","George Bush Intercontinental","Houston","United States","IAH","KIAH",29.984433,-95.341442,97,-6,"A","America/Chicago"
"3453","Millinocket Muni","Millinocket","United States","MLT","KMLT",45.647836,-68.685561,408,-5,"A","America/New_York"
"3454","Andrews Afb","Camp Springs","United States","ADW","KADW",38.810806,-76.867028,280,-5,"A","America/New_York"
"3455","Smith Reynolds","Winston-salem","United States","INT","KINT",36.133722,-80.222,969,-5,"A","America/New_York"
"3456","Southern California Logistics","Victorville","United States","VCV","KVCV",34.597453,-117.382997,2885,-8,"A","America/Los_Angeles"
"3457","Bob Sikes","Crestview","United States","CEW","KCEW",30.778833,-86.522111,213,-6,"A","America/Chicago"
"3458","Wheeler Sack Aaf","Fort Drum","United States","GTB","KGTB",44.055619,-75.719458,690,-5,"A","America/New_York"
"3459","St Clair Co Intl","Port Huron","United States","PHN","KPHN",42.910957,-82.528862,650,-5,"A","America/New_York"
"3460","Meadows Fld","Bakersfield","United States","BFL","KBFL",35.433598,-119.05677,507,-8,"A","America/Los_Angeles"
"3461","El Paso Intl","El Paso","United States","ELP","KELP",31.80725,-106.377583,3958,-7,"A","America/Denver"
"3462","Valley Intl","Harlingen","United States","HRL","KHRL",26.2285,-97.654389,36,-6,"A","America/Chicago"
"3463","Columbia Metropolitan","Columbia","United States","CAE","KCAE",33.938833,-81.119528,236,-5,"A","America/New_York"
"3464","Davis Monthan Afb","Tucson","United States","DMA","KDMA",32.166467,-110.883144,2704,-7,"A","America/Phoenix"
"3465","Pensacola Nas","Pensacola","United States","NPA","KNPA",30.352656,-87.318647,28,-6,"A","America/Chicago"
"3466","Pensacola Rgnl","Pensacola","United States","PNS","KPNS",30.473425,-87.186611,121,-6,"A","America/Chicago"
"3467","Grand Forks Afb","Red River","United States","RDR","KRDR",47.961098,-97.401194,913,-6,"A","America/Chicago"
"3468","William P Hobby","Houston","United States","HOU","KHOU",29.645419,-95.278889,46,-6,"A","America/Chicago"
"3469","Buckley Afb","Buckley","United States","BKF","KBKF",39.701668,-104.75166,5662,-7,"A","America/Denver"
"3470","Northway","Northway","United States","ORT","PAOR",62.961334,-141.929136,1716,-9,"A","America/Anchorage"
"3471","Palmer Muni","Palmer","United States","PAQ","PAAQ",61.594914,-149.088711,242,-9,"A","America/Anchorage"
"3472","Pittsburgh Intl","Pittsburgh","United States","PIT","KPIT",40.491467,-80.232872,1204,-5,"A","America/New_York"
"3473","Wiley Post Will Rogers Mem","Barrow","United States","BRW","PABR",71.285446,-156.766003,44,-9,"A","America/Anchorage"
"3474","Ellington Fld","Houston","United States","EFD","KEFD",29.607333,-95.15875,32,-6,"A","America/Chicago"
"3475","Whidbey Island Nas","Whidbey Island","United States","NUW","KNUW",48.351803,-122.655906,47,-8,"A","America/Los_Angeles"
"3476","Alice Intl","Alice","United States","ALI","KALI",27.740889,-98.026944,178,-6,"A","America/Chicago"
"3477","Moody Afb","Valdosta","United States","VAD","KVAD",30.967833,-83.193,233,-5,"A","America/New_York"
"3478","Miami Intl","Miami","United States","MIA","KMIA",25.79325,-80.290556,8,-5,"A","America/New_York"
"3479","Seattle Tacoma Intl","Seattle","United States","SEA","KSEA",47.449,-122.309306,433,-8,"A","America/Los_Angeles"
"3480","Lovell Fld","Chattanooga","United States","CHA","KCHA",35.035278,-85.203808,683,-5,"A","America/New_York"
"3481","Igor I Sikorsky Mem","Stratford","United States","BDR","KBDR",41.163472,-73.126167,9,-5,"A","America/New_York"
"3482","Jackson Evers Intl","Jackson","United States","JAN","KJAN",32.311167,-90.075889,346,-6,"A","America/Chicago"
"3483","Scholes Intl At Galveston","Galveston","United States","GLS","KGLS",29.265322,-94.860406,6,-6,"A","America/Chicago"
"3484","Long Beach","Long Beach","United States","LGB","KLGB",33.817722,-118.151611,60,-8,"A","America/Los_Angeles"
"3485","Dillingham","Dillingham","United States","HDH","PHDH",21.579475,-158.197281,14,-10,"A","Pacific/Honolulu"
"3486","Williamsport Rgnl","Williamsport","United States","IPT","KIPT",41.241836,-76.921094,529,-5,"A","America/New_York"
"3487","Indianapolis Intl","Indianapolis","United States","IND","KIND",39.717331,-86.294383,797,-5,"A","America/New_York"
"3488","Whiteman Afb","Knobnoster","United States","SZL","KSZL",38.730306,-93.547864,870,-6,"A","America/Chicago"
"3489","Akron Fulton Intl","Akron","United States","AKC","KAKR",41.0375,-81.466917,1067,-5,"A","America/New_York"
"3490","Greenwood Leflore","Greenwood","United States","GWO","KGWO",33.494328,-90.084706,162,-6,"A","America/Chicago"
"3491","Westchester Co","White Plains","United States","HPN","KHPN",41.066959,-73.707575,439,-5,"A","America/New_York"
"3492","Francis S Gabreski","West Hampton Beach","United States","FOK","KFOK",40.843656,-72.631789,67,-5,"A","America/New_York"
"3493","Jonesboro Muni","Jonesboro","United States","JBR","KJBR",35.831708,-90.646417,262,-6,"A","America/Chicago"
"3494","Tonopah Test Range","Tonopah","United States","TNX","KTNX",37.798836,-116.78075,5549,-8,"A","America/Los_Angeles"
"3495","Palm Beach Co Park","West Palm Beach","United States","LNA","KLNA",26.593,-80.085056,14,-5,"A","America/New_York"
"3496","North Island Nas","San Diego","United States","NZY","KNZY",32.699219,-117.21531,26,-8,"A","America/Los_Angeles"
"3497","Biggs Aaf","El Paso","United States","BIF","KBIF",31.849528,-106.380039,3948,-7,"A","America/Denver"
"3498","Yuma Mcas Yuma Intl","Yuma","United States","YUM","KYUM",32.656578,-114.60598,216,-7,"N","America/Phoenix"
"3499","Cavern City Air Terminal","Carlsbad","United States","CNM","KCNM",32.337472,-104.263278,3295,-7,"A","America/Denver"
"3500","Duluth Intl","Duluth","United States","DLH","KDLH",46.842091,-92.193649,1428,-6,"A","America/Chicago"
"3501","Bethel","Bethel","United States","BET","PABE",60.779778,-161.838,121,-9,"A","America/Anchorage"
"3502","Bowman Fld","Louisville","United States","LOU","KLOU",38.228,-85.663722,546,-5,"A","America/New_York"
"3503","Sierra Vista Muni Libby Aaf","Fort Huachuca","United States","FHU","KFHU",31.588472,-110.344389,4719,-7,"A","America/Phoenix"
"3504","Lihue","Lihue","United States","LIH","PHLI",21.975983,-159.338958,153,-10,"N","Pacific/Honolulu"
"3505","Terre Haute Intl Hulman Fld","Terre Haute","United States","HUF","KHUF",39.451464,-87.307561,589,-5,"A","America/New_York"
"3506","Havre City Co","Havre","United States","HVR","KHVR",48.542983,-109.762342,2590,-7,"A","America/Denver"
"3507","Grant Co Intl","Grant County Airport","United States","MWH","KMWH",47.207708,-119.32019,1185,-8,"A","America/Los_Angeles"
"3508","Edward F Knapp State","Montpelier","United States","MPV","KMPV",44.203503,-72.562328,1165,-5,"A","America/New_York"
"3509","San Nicolas Island Nolf","San Nicolas Island","United States","","KNSI",33.239765,-119.45816,506,-8,"A","America/Los_Angeles"
"3510","Richmond Intl","Richmond","United States","RIC","KRIC",37.505167,-77.319667,167,-5,"A","America/New_York"
"3511","Shreveport Rgnl","Shreveport","United States","SHV","KSHV",32.446629,-93.8256,258,-6,"A","America/Chicago"
"3512","Merle K Mudhole Smith","Cordova","United States","CDV","PACV",60.491778,-145.477556,48,-9,"A","America/Anchorage"
"3513","Norfolk Intl","Norfolk","United States","ORF","KORF",36.894611,-76.201222,26,-5,"A","America/New_York"
"3514","Southeast Texas Rgnl","Beaumont","United States","BPT","KBPT",29.950833,-94.020694,15,-6,"A","America/Chicago"
"3515","Savannah Hilton Head Intl","Savannah","United States","SAV","KSAV",32.127583,-81.202139,51,-5,"A","America/New_York"
"3516","Hill Afb","Ogden","United States","HIF","KHIF",41.123939,-111.973039,4789,-7,"A","America/Denver"
"3517","Nome","Nome","United States","OME","PAOM",64.512203,-165.445247,37,-9,"A","America/Anchorage"
"3518","Scappoose Industrial Airpark","San Luis","United States","SPB","KSPB",45.771028,-122.861833,58,-8,"A","America/Los_Angeles"
"3519","St Petersburg Clearwater Intl","St. Petersburg","United States","PIE","KPIE",27.910167,-82.687389,10,-5,"A","America/New_York"
"3520","Menominee Marinette Twin Co","Macon","United States","MNM","KMNM",45.12665,-87.638443,625,-6,"A","America/Chicago"
"3521","Lone Star Executive","Conroe","United States","CXO","KCXO",30.351833,-95.414467,245,-6,"A","America/Chicago"
"3522","Deadhorse","Deadhorse","United States","SCC","PASC",70.19475,-148.465167,64,-9,"A","America/Anchorage"
"3523","San Antonio Intl","San Antonio","United States","SAT","KSAT",29.533694,-98.469778,809,-6,"A","America/Chicago"
"3524","Greater Rochester Intl","Rochester","United States","ROC","KROC",43.118866,-77.672389,559,-5,"A","America/New_York"
"3525","Patrick Afb","Coco Beach","United States","COF","KCOF",28.234922,-80.610125,8,-5,"A","America/New_York"
"3526","Teterboro","Teterboro","United States","TEB","KTEB",40.850103,-74.060837,9,-5,"A","America/New_York"
"3527","Ellsworth Afb","Rapid City","United States","RCA","KRCA",44.145042,-103.103567,3279,-7,"A","America/Denver"
"3528","Raleigh Durham Intl","Raleigh-durham","United States","RDU","KRDU",35.877639,-78.787472,435,-5,"A","America/New_York"
"3529","James M Cox Dayton Intl","Dayton","United States","DAY","KDAY",39.902375,-84.219375,1009,-5,"A","America/New_York"
"3530","Kenai Muni","Kenai","United States","ENA","PAEN",60.573111,-151.245,99,-9,"A","America/Anchorage"
"3531","Mc Alester Rgnl","Mcalester","United States","MLC","KMLC",34.882403,-95.783463,770,-6,"A","America/Chicago"
"3532","Niagara Falls Intl","Niagara Falls","United States","IAG","KIAG",43.107333,-78.946194,589,-5,"A","America/New_York"
