FLIGHT_ID,FLIGHT_NUMBER,ORIGIN,DESTINATION,TAIL_NUMBER,SCH_DEP,SCH_ARR,ARRIVAL_DELAY
112,AS470,SEA,OAK,N771AS,19461739,19461861,7
113,AS468,SEA,LAX,N793AS,19461704,19461863,13
114,AS067,SIT,JNU,N780AS,19461824,19461866,85
115,AS310,PDX,SFO,N754AS,19461757,19461867,0
116,AS374,SEA,ONT,N785AS,19461730,19461880,3
117,AS321,SNA,OAK,N769AS,19461805,19461888,29
118,AS064,KTN,SEA,N783AS,19461778,19461893,0
119,AS045,ANC,BET,N762AS,19461820,19461896,12
120,AS096,ANC,SEA,N776AS,19461695,19461911,22
121,AS069,SEA,KTN,N775AS,19461787,19461912,8
122,AS0389,SMF,PDX,N774AS,19461833,19461925,61
123,AS141,SEA,FAI,N705AS,19461887,19461939,0
124,AS153,OTZ,OME,N794AS,19461894,19461939,0
125,AS146,BRW,FAI,N763AS,19461860,19461940,0
126,AS128,ANC,FAI,N797AS,19461896,19461948,11
127,AS682,SEA,LAS,N772AS,19461815,19461956,0
128,AS498,SFO,PSP,N760AS,19461888,19461970,52
129,AS470,OAK,SNA,N771AS,19461896,19461980,0
130,AS608,PDX,LAS,N792AS,19461858,19461985,0
131,AS070,ANC,JNU,N795AS,19461890,19461991,0
132,AS720,SEA,PHX,N778AS,19461832,19461994,67
133,AS046,BET,ANC,N762AS,19461936,19462003,4
134,AS324,SFO,SJC,N767AS,19461883,19462009,34
135,AS069,KTN,JNU,N775AS,19461952,19462012,1
136,AS067,JNU,ANC,N780AS,19461907,19462013,91
137,AS146,FAI,ANC,N763AS,19461980,19462033,0
138,AS497,SNA,SEA,N708AS,19461863,19462034,15
139,AS325,SFO,SEA,N754AS,19461916,19462039,12
140,AS710,SFO,PHX,N764AS,19461895,19462042,0
141,AS321,OAK,SEA,N769AS,19461925,19462043,16
142,AS140,FAI,ANC,N705AS,19462000,19462053,0
143,AS153,OME,ANC,N794AS,19461980,19462066,0
144,AS445,ONT,SEA,N785AS,19461922,19462079,102
145,AS376,SEA,GEG,N776AS,19462020,19462079,3
146,AS693,LAS,SEA,N772AS,19461998,19462152,36
147,AS695,LAS,PDX,N792AS,19462020,19462159,43
